Applications,Cef,NBR Version,Kit CEF,Remarks,Company,Tipologia Applicazione
"DF90 (2006→2009, S/N: 680686～889999 / 682149～983645)",500367,,,Includes OEM impeller #17461-90J01. Complete water pump repair kit.,SUZUKI,Outboard
"DF100 (2006→2009, S/N: ≤9813204 / 682149～983645)",500367,,,Includes OEM impeller #17461-90J01. Complete water pump repair kit.,SUZUKI,Outboard
"DF115T (2006→2009, S/N: 681518～983178 / 682149～983645)",500367,,,Includes OEM impeller #17461-90J01. Complete water pump repair kit.,SUZUKI,Outboard
"DF115Z (2006→2009, S/N: 880001～980055 / 682149～983645)",500367,,,Includes OEM impeller #17461-90J01. Complete water pump repair kit.,SUZUKI,Outboard
"DF140T (2006→2009, S/N: 682149～983645)",500367,,,Includes OEM impeller #17461-90J01. Complete water pump repair kit.,SUZUKI,Outboard
"DF140Z (2006→2009, S/N: 680234～980353 / 682149～983645)",500367,,,Includes OEM impeller #17461-90J01. Complete water pump repair kit.,SUZUKI,Outboard
,,,,,,
DF4 (2002→2015),500336,,,Water Pump Repair Kit (OEM Impeller #17461-985M0-000).,SUZUKI,Outboard
DF4A (2017→Today),500336,,,Water Pump Repair Kit (OEM Impeller #17461-985M0-000).,SUZUKI,Outboard
DF5 (2002→2015),500336,,,Water Pump Repair Kit (OEM Impeller #17461-985M0-000).,SUZUKI,Outboard
DF5A (2017→Today),500336,,,Water Pump Repair Kit (OEM Impeller #17461-985M0-000).,SUZUKI,Outboard
DF6 (2003→2015),500336,,,Water Pump Repair Kit (OEM Impeller #17461-985M0-000).,SUZUKI,Outboard
DF6A (2017→Today),500336,,,Water Pump Repair Kit (OEM Impeller #17461-985M0-000).,SUZUKI,Outboard
,,,,,,
DF90 (2009→2011),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF100 (2009→2012),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF100T (2012),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF100A (2012→2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF100AT (2013→2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF100C (2023→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115 (2009→2012),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115T (2012),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115A (2012→2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115AT (2013→2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115AZ (2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115B (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115BT (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115BZ (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF115BG (2021→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140 (2009→2012),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140T (2010→2012),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
