Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
250  (4791300 - 4898729),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
250  (4791300 - 4898729),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
250  (4791300 - 4898729),500516K,,,stern drive/gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
250  (4791300 - 4898729),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
255 TRS  (3377316 - 4203749),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
260 - (4908850 - 6218461),500511K,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
260 - (4908850 - 6218461),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
280 - (4176250 >),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
280 TRS  (4203750 - 4895399),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
320 EFI  (all/tutti),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
320 EFI  (all/tutti),500513K,,,stern drive/gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
320 EFI  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
320 EFI  (all/tutti),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
330 - (6083145 >),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
330 - (6083145 >),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
350 magnum  (all/tutti),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
350 magnum  (all/tutti),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
350 magnum  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
350 magnum  (all/tutti),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
350/454 magnum - (A635178 - F115700),500507,,,Engine/Motore (dia.4”) +,MERCRUISER ,Inboard_Engines
350/454 magnum - (A635178 - F115700),500508,,,Engine/Motore (dia.4”) -,MERCRUISER ,Inboard_Engines
454 magnum  (all/tutti),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
454 magnum  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
454 magnum (all/tutti),500109T,,,,MERCRUISER ,Inboard_Engines
470 (170 HP)  (all/tutti),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
470 (170 HP)  (all/tutti),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
470 (170 HP)  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
470 (170 HP)  (all/tutti),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
470 (170HP) - (4208730 - 5520114),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
470 (170HP) - (4208730 - 5520114),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
485 - (5685384 >),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
485 - (5685384 >),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
485 (185 HP)  (all/tutti),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
485 (185 HP)  (all/tutti),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
485 (185 HP)  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
485 (185 HP)  (all/tutti),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
488 - (6170297 >),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
488 - (6170297 >),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
488 (188 HP)  (all/tutti),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
488 (188 HP)  (all/tutti),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
488 (188 HP)  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
488 (188 HP)  (all/tutti),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
496 MAG (Base Model),500159G,,,,MERCRUISER ,Inboard_Engines
496 MAG (H.O. Model),500159G,,,,MERCRUISER ,Inboard_Engines
502 MAG (1998 and up),500109T,,,,MERCRUISER ,Inboard_Engines
888 (188 HP)  (3106717 >),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
888 (188 HP)  (3106717 >),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
888 (188 HP)  (3106717 >),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
888 (188 HP)  (3106717 >),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
898 (198HP) - (4762210 - 6218461),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
898 (198HP) - (4762210 - 6218461),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
898 (198HP) - (6218462 >),500507,,,Engine/Motore (dia.4”) +,MERCRUISER ,Inboard_Engines
898 (198HP) - (6218462 >),500508,,,Engine/Motore (dia.4”) -,MERCRUISER ,Inboard_Engines
898 (198HP) - (6218462 >),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
898 (198HP) - (6218462 >),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
898/228  (4782330 - 4898729),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
898/228  (4782330 - 4898729),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
898/228  (4782330 - 4898729),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
898/228  (4782330 - 4898729),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
alpha generation II  (D469859 >),500515K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
bravo I & II - (all/tutti),500507,,,Engine/Motore (dia.4”) +,MERCRUISER ,Inboard_Engines
bravo I & II - (all/tutti),500508,,,Engine/Motore (dia.4”) -,MERCRUISER ,Inboard_Engines
bravo I/II & III  (all/tutti),500509K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
bravo I/II & III  (all/tutti),501009,,,Cooling hose/Manicotto acqua,MERCRUISER ,Inboard_Engines
bravo I/II (all/tutti),500109T,,SK0005,water pumps with a plastic 1 piece body,MERCRUISER ,Inboard_Engines
gen II alpha (all/tutti),500301,,BK0016,,MERCRUISER ,Inboard_Engines
I & alpha I (6225577-D469859),500313G,,SK0007,,MERCRUISER ,Inboard_Engines
I (2062141-26633441),500313G,,SK0007,,MERCRUISER ,Inboard_Engines
I (2663442-6225576),500313G,,SK0007,,MERCRUISER ,Inboard_Engines
II TRS  (all/tutti),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
MC 1 (1684188-2495185) (1964-1968),500313G,,BK0004,,MERCRUISER ,Inboard_Engines
MC 1 (2495186-2763441) (1968-1969),500313G,,BK0004,,MERCRUISER ,Inboard_Engines
MC 1/R Alpha (2763442-6854392) (1970-1984),500313G,,BK0004,,MERCRUISER ,Inboard_Engines
"MC-1, 120 through/fino a  260 <1982",501000,,,,MERCRUISER ,Inboard_Engines
merc I  drive,500522K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
MR Alpha (6854393-D469858) (1984-1990),500313G,,BK0015,,MERCRUISER ,Inboard_Engines
"Fits early models 1A, 1B, 1C & EZ Shift (1964-1966)",501004,,,,MERCRUISER ,Inboard_Engines
