Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione,Date Added
L250 (1990-1999),500371,,,,YAMAHA,Outboard_Engines
LF115 (2000-2004),500371,,,,YAMAHA,Outboard_Engines
LF200 (2002-2005),500371,,,,YAMAHA,Outboard_Engines
LF225 (2002-2005),500371,,,,YAMAHA,Outboard_Engines
LF250 (2005),500371,,,,YAMAHA,Outboard_Engines
LX150 (1999-2004),500371,,,,YAMAHA,Outboard_Engines
LX200 (1999-2003),500371,,,,YAMAHA,Outboard_Engines
LX225 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
LX250 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
LZ150 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
LZ200 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
P40 (1998),500316,,,,YAMAHA,Outboard_Engines
P50 (1991-1993),500385G,,,,YAMAHA,Outboard_Engines
P50 (1995-1996),500316,,,,YAMA,Outboard_Engines
P60 (1991-1999),500316,,,,YAMAHA,Outboard_Engines
P75 (1996-1999),500323,,,,YAMAHA,Outboard_Engines
LZ250 (2003-2005),500371,,,,YAMAHA,Outboard_Engines
LZ300 (2004-2005),500371,,,,YAMAHA,Outboard_Engines
P115 (62A) (1993-1996),500371,,,,YAMAHA,Outboard_Engines
P150 (1986-1999),500371,,,,YAMAHA,Outboard_Engines
P175 (62H) (1994-1999),500371,,,,YAMAHA,Outboard_Engines
P200 (1991-1999),500371,,,,YAMAHA,Outboard_Engines
PRO 50 (1987-1994),500385G,,,,YAMAHA,Outboard_Engines
PRO V150 (6J9) (1986-1989),500371,,,,YAMAHA,Outboard_Engines
PRO V150D (6N9) (1990),500371,,,,YAMAHA,Outboard_Engines
PX150 (1999),500371,,,,YAMAHA,Outboard_Engines
S225 (1994-1999),500371,,,,YAMAHA,Outboard_Engines
S250 (1997-1999),500371,,,,YAMAHA,Outboard_Engines
SX150 (1999-2004),500371,,,,YAMAHA,Outboard_Engines
SX200 (1999-2005),500371,,,,YAMAHA,Outboard_Engines
SX225 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
T8 (2001-2005),500363,,,,YAMAHA,Outboard_Engines
FT9.9 (1985-1990),500320,,,,YAMAHA,Outboard_Engines
T9.9 (1985-1999),500320,,,,YAMAHA,Outboard_Engines
T9.9 (2005),500363,,,,YAMAHA,Outboard_Engines
T25 (2001-2005),500385G,,,,YAMAHA,Outboard_Engines
T50 (1996-2005),500316,,,,YAMAHA,Outboard_Engines
T60 (2003-2004),500316,,,,YAMAHA,Outboard_Engines
SX250 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
V6 Special (6G7) (1984-1986),500371,,,,YAMAHA,Outboard_Engines
V6 Excell (6K7) (1987-1989),500371,,,,YAMAHA,Outboard_Engines
V150 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
V175 (2000),500371,,,,YAMAHA,Outboard_Engines
V200 (1998-1999),500371,,,,YAMAHA,Outboard_Engines
V225 (1998-1999),500371,,,,YAMAHA,Outboard_Engines
VX150 (2001-2004),500371,,,,YAMAHA,Outboard_Engines
VX200 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
VX225 (2000-2004),500371,,,,YAMAHA,Outboard_Engines
VX250 (2002-2004),500371,,,,YAMAHA,Outboard_Engines
VZ150 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
VZ175 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
VZ200 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
VZ225 (2003-2005),500371,,,,YAMAHA,Outboard_Engines
VZ250 (2003-2005),500371,,,,YAMAHA,Outboard_Engines
VZ300 (2004-2005),500371,,,,YAMAHA,Outboard_Engines
Z150 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
Z175 (2001-2004),500371,,,,YAMAHA,Outboard_Engines
Z200 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
Z250 (2003-2005),500371,,,,YAMAHA,Outboard_Engines
Z300 (2004-2005),500371,,,,YAMAHA,Outboard_Engines
F20 (2001-2005),500363,,,,YAMAHA,Outboard_Engines,2023-10-10
F350 (2004-2005),500389N,,,,YAMAHA,Outboard_Engines,2023-10-10
115HP (1989-2005),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
140HP (1988-1992),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
150HP (1984-1991),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
175HP (1984-1991),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
200HP (1984-1991),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
225HP (1990-1991),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
F150 (2000-2005),500371,,,,YAMAHA,Outboard_Engines,2023-10-10
F225F (2002),500401N (8M6010334),,,,YAMAHA,Outboard_Engines,2023-10-10
F250D (2005),500401N (8M6010334),,,,YAMAHA,Outboard_Engines,2023-10-10
F300B (2005),500401N (8M6010334),,,,YAMAHA,Outboard_Engines,2023-10-10
40 HP (1984-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
50 HP (1984-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
40V (1984-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
40Y (1984-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
50G (1984-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
50H (1984-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
55B (1989-1993),500316,,SK0003,,YAMAHA,Outboard_Engines,2023-10-10
Pro50 (1987-1994),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
60F (2001),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
70B (fino al 2003),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F40A (1999),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F40C (2000-2004),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F45A (2000-2004),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F50A (1999-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F50B (1999-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F50F (1999-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
FT50B (1996-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
FT50C (1996-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
FT50G (1996-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F60A (2002-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F60C (2002-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
FT60B (2003-2004),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
FT60D (2003-2004),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
F70A (2001-2005),500316,,,,YAMAHA,Outboard_Engines,2023-10-10
