Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
120 HP (1985 >),500305,,,Except/Tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
120 HP (1985-1994),500308CR,,BK0003,Except/Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
125 HP (1971-1972),500306,,,,EVINRUDE - JOHNSON,Outboard_Engines
125 HP (1994-1995),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
130HP (1994-1997),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
135 HP (1973-1976),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
140 HP (1977-1978),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
140 HP (1979 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
140 HP (1979-1994),500308CR,,BK0003,Except/Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
150 HP (1976-1978),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
150 HP (1979 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
150 HP (1979-2006),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
155 HP (1984 - ),500308CR,,BK0003,Except/Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
155 HP (1984 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
175 HP (1976-1978),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
175 HP (1979 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
175 HP (1979-2006),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
185 HP (1984 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
185 HP (1984-1994),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
200 HP (1976-1978),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
200 HP (1979 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
200 HP (1979-2007),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
225 HP (1986 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
225 HP (1986-2007),500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
235 HP (1976-1978),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
235 HP (1979 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
235 HP (1979-1985),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
250 HP (1993-2007),500308CR,,BK0003,KIT Except /Tranne 25” and 30“ Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
275 HP (1985 -),500308CR,,BK0003,Except/Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
275 HP (1985 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
"300/3,6L HP (1985-95)",500308CR,,BK0003,KIT Except /Tranne 25” and 30” Models/Modelli,EVINRUDE - JOHNSON,Outboard_Engines
300/3.6L HP (1985 >),500305,,,Except/tranne 1993 > 25” & 30”,EVINRUDE - JOHNSON,Outboard_Engines
"V4, V6, V8 (1976-2006)",500308CR,,,,EVINRUDE - JOHNSON,Outboard_Engines
"250 HP E-TEC E250DPZ (2007)",500308CR,,BK0003,"KIT except 25” & 30” models; OEM girante 5001593; kit OEM 5001595",EVINRUDE - JOHNSON,Outboard_Engines
