ID,Applications (Motore / Potenza / Specifiche),CEF (Codice CEF),NBR Version,Kit (Codice Kit),Remarks (Compatibilità, anni, note),Company,Tipologia Applicazione,Note Esplicative (fonti, dettagli)
94,"F60 (vecchio)",500316,,,,"YAMAHA","Outboard_Engines",""
95,"F75 (2003-2005)",500364,,,,"YAMAHA","Outboard_Engines",""
96,"F80 (1999-2003)",500364,,,,"YAMAHA","Outboard_Engines",""
97,"F90 (2004-2005)",500364,,,,"YAMAHA","Outboard_Engines",""
98,"F70",500371,,,,"YAMAHA","Outboard_Engines",""
99,"F100 (1999-2003)",500364,,,,"YAMAHA","Outboard_Engines",""
100,"F115 (2000-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
101,"F180 (2003)",500364,,,,"YAMAHA","Outboard_Engines",""
102,"F200 (2005)",500371,,,,"YAMAHA","Outboard_Engines",""
103,"F225 (2002)",500371,,,,"YAMAHA","Outboard_Engines",""
104,"F250 (2005)",500371,,,,"YAMAHA","Outboard_Engines",""
105,"L130 (6L6) (1989-1992)",500371,,,,"YAMAHA","Outboard_Engines",""
106,"L130 (6N4) (1989-1996)",500371,,,,"YAMAHA","Outboard_Engines",""
107,"L130 (2000-2001)",500371,,,,"YAMAHA","Outboard_Engines",""
108,"L150 (6R0) (1986-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
109,"L150 (6K0) (1986-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
110,"L200 (6K1) (1986-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
111,"L200 (6R1) (1986-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
112,"L200 (1992-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
113,"L225 (1994-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
114,"L250 (1990-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
115,"LF115 (2000-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
116,"LF200 (2002-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
117,"LF225 (2002-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
118,"LF250 (2005)",500371,,,,"YAMAHA","Outboard_Engines",""
119,"LX150 (1999-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
120,"LX200 (1999-2003)",500371,,,,"YAMAHA","Outboard_Engines",""
121,"LX225 (2000-2003)",500371,,,,"YAMAHA","Outboard_Engines",""
122,"LX250 (2000-2003)",500371,,,,"YAMAHA","Outboard_Engines",""
123,"LZ150 (2001-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
124,"LZ200 (2000-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
125,"P40 (1998)",500316,,,,"YAMAHA","Outboard_Engines",""
126,"P50 (1991-1993)",500385G,,,,"YAMAHA","Outboard_Engines",""
127,"P50 (1995-1996)",500316,,,,"YAMA","Outboard_Engines",""
128,"P60 (1991-1999)",500316,,,,"YAMAHA","Outboard_Engines",""
129,"P75 (1996-1999)",500323,,,,"YAMAHA","Outboard_Engines",""
130,"LZ250 (2003-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
131,"LZ300 (2004-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
132,"P115 (62A) (1993-1996)",500371,,,,"YAMAHA","Outboard_Engines",""
133,"P150 (1986-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
134,"P175 (62H) (1994-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
135,"P200 (1991-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
136,"PRO 50 (1987-1994)",500385G,,,,"YAMAHA","Outboard_Engines",""
137,"PRO V150 (6J9) (1986-1989)",500371,,,,"YAMAHA","Outboard_Engines",""
138,"PRO V150D (6N9) (1990)",500371,,,,"YAMAHA","Outboard_Engines",""
139,"PX150 (1999)",500371,,,,"YAMAHA","Outboard_Engines",""
140,"S225 (1994-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
141,"S250 (1997-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
142,"SX150 (1999-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
143,"SX200 (1999-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
144,"SX225 (2000-2003)",500371,,,,"YAMAHA","Outboard_Engines",""
145,"T8 (2001-2005)",500363,,,,"YAMAHA","Outboard_Engines",""
146,"FT9.9 (1985-1990)",500320,,,,"YAMAHA","Outboard_Engines",""
147,"T9.9 (1985-1999)",500320,,,,"YAMAHA","Outboard_Engines",""
148,"T9.9 (2005)",500363,,,,"YAMAHA","Outboard_Engines",""
149,"T25 (2001-2005)",500385G,,,,"YAMAHA","Outboard_Engines",""
150,"T50 (1996-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
151,"T60 (2003-2004)",500316,,,,"YAMAHA","Outboard_Engines",""
152,"SX250 (2000-2003)",500371,,,,"YAMAHA","Outboard_Engines",""
153,"V6 Special (6G7) (1984-1986)",500371,,,,"YAMAHA","Outboard_Engines",""
154,"V6 Excell (6K7) (1987-1989)",500371,,,,"YAMAHA","Outboard_Engines",""
155,"V150 (2000-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
156,"V175 (2000)",500371,,,,"YAMAHA","Outboard_Engines",""
157,"V200 (1998-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
158,"V225 (1998-1999)",500371,,,,"YAMAHA","Outboard_Engines",""
159,"VX150 (2001-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
160,"VX200 (2001-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
161,"VX225 (2000-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
162,"VX250 (2002-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
163,"VZ150 (2001-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
164,"VZ175 (2001-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
165,"VZ200 (2001-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
166,"VZ225 (2003-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
167,"VZ250 (2003-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
168,"VZ300 (2004-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
169,"Z150 (2001-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
170,"Z175 (2001-2004)",500371,,,,"YAMAHA","Outboard_Engines",""
171,"Z200 (2000-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
172,"Z250 (2003-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
173,"Z300 (2004-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
174,"F20 (2001-2005)",500363,,,,"YAMAHA","Outboard_Engines",""
175,"F350 (2004-2005)",500389N,,,,"YAMAHA","Outboard_Engines",""
176,"115HP (1989-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
177,"140HP (1988-1992)",500371,,,,"YAMAHA","Outboard_Engines",""
178,"150HP (1984-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
179,"175HP (1984-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
180,"200HP (1984-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
181,"225HP (1990-1991)",500371,,,,"YAMAHA","Outboard_Engines",""
182,"F150 (2000-2005)",500371,,,,"YAMAHA","Outboard_Engines",""
183,"F225F (2002)",500401N (8M6010334),,,,,"YAMAHA","Outboard_Engines",""
184,"F250D (2005)",500401N (8M6010334),,,,,"YAMAHA","Outboard_Engines",""
185,"F300B (2005)",500401N (8M6010334),,,,,"YAMAHA","Outboard_Engines",""
186,"40 HP (1984-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
187,"50 HP (1984-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
188,"40V (1984-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
189,"40Y (1984-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
190,"50G (1984-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
191,"50H (1984-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
192,"55B (1989-1993)",500316,,"SK0003",,"YAMAHA","Outboard_Engines",""
193,"Pro50 (1987-1994)",500316,,,,"YAMAHA","Outboard_Engines",""
194,"60F (2001)",500316,,,,"YAMAHA","Outboard_Engines",""
195,"70B (fino al 2003)",500316,,,,"YAMAHA","Outboard_Engines",""
196,"F40A (1999)",500316,,,,"YAMAHA","Outboard_Engines",""
197,"F40C (2000-2004)",500316,,,,"YAMAHA","Outboard_Engines",""
198,"F45A (2000-2004)",500316,,,,"YAMAHA","Outboard_Engines",""
199,"F50A (1999-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
200,"F50B (1999-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
201,"F50F (1999-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
202,"FT50B (1996-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
203,"FT50C (1996-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
204,"FT50G (1996-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
205,"F60A (2002-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
206,"F60C (2002-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
207,"FT60B (2003-2004)",500316,,,,"YAMAHA","Outboard_Engines",""
208,"FT60D (2003-2004)",500316,,,,"YAMAHA","Outboard_Engines",""
209,"F70A (2001-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
