Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
4985,P50 (1995-1996),500316,,,,YAMAHA,Outboard_Engines
4986,P60 (1991-1999),500316,,,,YAMAHA,Outboard_Engines
4987,P75 (1996-1999),500323,,,,YAMAHA,Outboard_Engines
4988,LZ250 (2003-2005),500371,,,,YAMAHA,Outboard_Engines
4989,LZ300 (2004-2005),500371,,,,YAMAHA,Outboard_Engines
4990,P115 (62A) (1993-1996),500371,,,,YAMAHA,Outboard_Engines
4991,P150 (1986-1999),500371,,,,YAMAHA,Outboard_Engines
4992,P175 (62H) (1994-1999),500371,,,,YAMAHA,Outboard_Engines
4993,P200 (1991-1999),500371,,,,YAMAHA,Outboard_Engines
4994,PRO 50 (1987-1994),500385G,,,,YAMAHA,Outboard_Engines
4995,PRO V150 (6J9) (1986-1989),500371,,,,YAMAHA,Outboard_Engines
4996,PRO V150D (6N9) (1990),500371,,,,YAMAHA,Outboard_Engines
4997,PX150 (1999),500371,,,,YAMAHA,Outboard_Engines
4998,S225 (1994-1999),500371,,,,YAMAHA,Outboard_Engines
4999,S250 (1997-1999),500371,,,,YAMAHA,Outboard_Engines
5000,SX150 (1999-2004),500371,,,,YAMAHA,Outboard_Engines
5001,SX200 (1999-2005),500371,,,,YAMAHA,Outboard_Engines
5002,SX225 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
5003,T8 (2001-2005),500363,,,,YAMAHA,Outboard_Engines
5004,"FT9,9 (1985-1990)",500320,,,,YAMAHA,Outboard_Engines
5005,"T9,9 (1985-1999)",500320,,,,YAMAHA,Outboard_Engines
5006,"T9,9 (2005)",500363,,,,YAMAHA,Outboard_Engines
5007,T25 (2001-2005),500385G,,,,YAMAHA,Outboard_Engines
5008,T50 (1996-2005),500316,,,,YAMAHA,Outboard_Engines
5009,T60 (2003-2004),500316,,,,YAMAHA,Outboard_Engines
5010,SX250 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
5011,V6 Special (6G7) (1984-1986),500371,,,,YAMAHA,Outboard_Engines
5012,V6 Excell (6K7) (1987-1989),500371,,,,YAMAHA,Outboard_Engines
5013,V150 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
5014,V175 (2000),500371,,,,YAMAHA,Outboard_Engines
5015,V200 (1998-1999),500371,,,,YAMAHA,Outboard_Engines
