"115 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6N6 (6E5 (1989-2005",
"130 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6L1 (1988-1992",
"130 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6N7 ( 1988-1996",
"130 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2004",
"150 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R2 (6G4 (1984-1991",
"150 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R2 (1992-1999",
"150 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6E5 (1997-2005",
"175 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6G5 (1984-1991",
"175 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R3 (1992-2000",
"175 HP ETLN","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1984",
"200 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6G6 (1984-1991",
"200 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R4 (1984-1991",
"200 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R4 (1992-1999",
"200 HP ETLN","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1984",
"225 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R5 (1990-1991",
"225 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1992-99",
"250 HP","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1990-1996",
"300 HP","500389N",,,,"YAMAHA","OUTBOARD_ENGINES",,
"350 HP","500389N",,,,"YAMAHA","OUTBOARD_ENGINES",,
"B90","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1997-1999",
"C25","500326",,,,"YAMAHA","OUTBOARD_ENGINES","1990-1997",
"C30","500326",,,,"YAMAHA","OUTBOARD_ENGINES","1990-1992",
"C40","500352",,,,"YAMAHA","OUTBOARD_ENGINES","1992-1997",
"C40","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1997-2002",
"C50","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2001",
"C55, DRIVE I","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1991-1995",
"C55, DRIVE II","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1991-1995",
"C60","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1996-2001",
"C70","500316",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2001",
"C75","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1994-1999",
"C80","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1997",
"C85","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1989-1997",
"C90","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1997-2001",
"C115","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1991-1996",
"CV25","500326",,,,"YAMAHA","OUTBOARD_ENGINES","1990",
"CV30","500326",,,,"YAMAHA","OUTBOARD_ENGINES","1989-1990",
"CV40","500352",,,,"YAMAHA","OUTBOARD_ENGINES","1990",
"CV55, DRIVE I","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1989-1990",
"CV55, DRIVE II","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1989-1990",
"CV85","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1989-1991",
"E48","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1995-2000",
"E60","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1995-2000",
