Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"305","PUMP/POMPA 22740-0301","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"306","PUMP/POMPA 22740-0351","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"307","PUMP/POMPA 22740-0451","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"308","PUMP/POMPA 22750-05","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"309","PUMP/POMPA 22750-1101","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"310","PUMP/POMPA 22750-1151","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"311","PUMP/POMPA 22770","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"312","PUMP/POMPA 22770-1051","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"313","PUMP/POMPA 22770-1101","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"314","PUMP/POMPA 22820-2051","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"315","PUMP/POMPA 22820-2101","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"316","PUMP/POMPA 22830-2001","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"317","PUMP/POMPA 22830-2051","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"318","PUMP/POMPA 22830-2101","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"319","PUMP/POMPA 22830-2151","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"320","PUMP/POMPA 22830-2201","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"321","PUMP/POMPA 22830-2301","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"322","PUMP/POMPA 22940-2001","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"323","PUMP/POMPA 22940-2051","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"324","PUMP/POMPA 22950-2031","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"325","PUMP/POMPA 22960-1001","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"326","PUMP/POMPA 22960-2001","500100GX","500200GX",,,"JABSCO","INBOARD_ENGINES",
"327","PUMP/POMPA 2300-9001","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"328","PUMP/POMPA 2300-9004","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"329","PUMP/POMPA 23010-0131","500106GT","500206GT","RK0003",,"JABSCO","INBOARD_ENGINES",
"330","PUMP/POMPA 23010-0531","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"331","PUMP/POMPA 23020-1101","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"332","PUMP/POMPA 23050-1031","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"333","PUMP/POMPA 23060-1101","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"334","PUMP/POMPA 23070-1151","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"335","PUMP/POMPA 23080-1151","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"336","PUMP/POMPA 23320-2001","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"337","PUMP/POMPA 23320-2101","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"338","PUMP/POMPA 23340-1001","500177GT",,"RK0009",,"JABSCO","INBOARD_ENGINES",
"339","PUMP/POMPA 23340-1101","500177GT",,"RK0009",,"JABSCO","INBOARD_ENGINES",
"340","PUMP/POMPA 23430-1001","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"341","PUMP/POMPA 23430-1031","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"342","PUMP/POMPA 23430-1041","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"343","PUMP/POMPA 23430-1051","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"344","PUMP/POMPA 23430-1201","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"345","PUMP/POMPA 23430-1241","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"346","PUMP/POMPA 23430-1251","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"347","PUMP/POMPA 23430-1301","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"348","PUMP/POMPA 23430-1401","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"349","PUMP/POMPA 23430-1441","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"350","PUMP/POMPA 23430-1501","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"351","PUMP/POMPA 23430-1601","500114T","500214T",,,"JABSCO","INBOARD_ENGINES",
"352","PUMP/POMPA 23430-1641","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"353","PUMP/POMPA 23430-1701","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"354","PUMP/POMPA 23430-1901","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"355","PUMP/POMPA 23480-2001","500114T","500214T","RK0004",,"JABSCO","INBOARD_ENGINES",
"356","PUMP/POMPA 23800-0201","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"357","PUMP/POMPA 23800-0251","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"358","PUMP/POMPA 23800-0351","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"359","PUMP/POMPA 23800-0401","500104GT",,,,"JABSCO","INBOARD_ENGINES",
"360","PUMP/POMPA 2570-0011","500135T","500235T",,,"JABSCO","INBOARD_ENGINES",
"361","PUMP/POMPA 2620-0001","500156GX",,,,"JABSCO","INBOARD_ENGINES",
"362","PUMP/POMPA 2620-0051","500156GX",,,,"JABSCO","INBOARD_ENGINES",
"363","PUMP/POMPA 2620-1001","500156GX",,,,"JABSCO","INBOARD_ENGINES",
"364","PUMP/POMPA 2620-200","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"365","PUMP/POMPA 2620-211","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
"366","PUMP/POMPA 2620-221","500116GX","500216GX",,,"JABSCO","INBOARD_ENGINES",
